Username,Login_Date,Login_Time,Login_Hour,Day_Of_Week,Login_Status,Failed_Attempts,Login_Frequency,IP_Address,Device_Type,Browser,Label
1,2026-01-03,18:37:03,18,2,1,0,5,62.70.80.15,0,1,0
73,2026-02-24,18:20:50,18,5,1,0,3,247.252.130.21,1,2,0
10,2026-05-14,02:17:18,2,4,1,4,8,210.71.211.15,1,0,1
65,2025-10-07,16:32:01,16,5,1,2,4,145.203.108.247,0,1,0
33,2025-10-17,11:11:55,11,0,1,0,4,146.23.175.218,2,1,0
28,2025-08-12,19:58:45,19,5,1,1,5,45.174.91.166,2,2,0
12,2025-09-16,09:19:50,9,5,1,0,1,243.209.44.107,1,1,0
15,2026-05-22,14:23:45,14,0,1,1,3,71.199.65.209,2,1,0
52,2026-05-31,11:01:02,11,3,1,2,1,151.195.66.99,2,1,0
12,2025-08-09,19:01:31,19,2,1,0,1,66.117.146.150,0,2,0
50,2025-10-13,14:03:02,14,1,1,0,5,31.109.106.185,1,2,0
56,2026-05-15,10:08:26,10,0,1,0,4,100.2.61.138,1,2,0
12,2025-12-17,12:52:57,12,6,1,2,4,210.33.247.150,2,0,0
33,2026-01-09,08:49:43,8,0,1,2,5,147.80.188.17,2,2,0
29,2025-12-01,09:20:44,9,1,1,2,5,207.169.31.196,1,1,0
83,2025-12-29,16:59:18,16,1,1,0,2,38.148.63.244,0,2,0
65,2026-05-30,00:46:09,0,2,1,3,18,210.41.101.143,2,0,1
93,2026-05-30,14:43:41,14,2,1,0,2,13.121.143.162,2,0,0
80,2025-12-22,15:52:54,15,1,1,2,3,15.119.97.245,0,1,0
91,2025-09-01,08:36:30,8,1,1,1,5,220.143.179.158,0,1,0
34,2025-10-25,13:32:01,13,2,1,0,4,106.25.44.207,1,1,0
30,2026-05-02,11:12:32,11,2,0,2,3,75.198.119.178,0,0,0
88,2026-03-10,09:21:04,9,5,1,2,1,142.80.190.171,0,2,0
93,2026-04-30,13:43:16,13,4,1,1,2,247.147.246.203,0,2,0
29,2026-01-16,08:25:44,8,0,1,1,4,82.180.23.16,1,1,0
45,2026-05-05,04:33:09,4,5,1,7,16,59.131.115.53,2,2,1
4,2026-01-20,22:40:01,22,5,0,8,16,160.139.31.180,0,1,1
43,2025-08-22,13:48:08,13,0,1,2,4,92.176.251.195,1,0,0
78,2025-08-31,10:48:39,10,3,1,2,4,186.150.127.173,0,2,0
78,2025-08-15,20:39:30,20,0,1,0,4,6.29.4.42,1,1,0
19,2025-10-16,16:13:33,16,4,1,2,4,60.247.215.49,0,0,0
36,2026-02-22,13:12:56,13,3,1,0,5,83.239.44.48,0,2,0
41,2026-02-10,17:00:05,17,5,1,1,2,204.228.18.79,2,2,0
88,2025-10-16,18:11:28,18,4,1,0,3,8.87.198.169,0,0,0
41,2026-07-16,17:34:45,17,4,1,0,3,207.122.23.186,2,2,0
68,2025-10-11,15:07:41,15,2,1,0,3,111.37.147.241,2,0,0
64,2026-04-26,11:28:42,11,3,1,2,1,26.117.14.124,0,1,0
10,2025-09-17,15:46:35,15,6,1,2,5,34.66.119.233,1,0,0
52,2026-01-18,09:11:05,9,3,1,0,4,82.97.170.215,0,0,0
61,2025-10-04,09:30:32,9,2,1,1,4,232.167.13.80,1,1,0
83,2026-07-19,22:01:11,22,3,0,9,8,188.59.225.41,1,0,1
63,2026-07-11,19:22:05,19,2,1,1,5,172.72.33.110,0,0,0
39,2026-02-22,10:36:22,10,3,1,2,2,80.74.212.28,1,1,0
6,2025-07-30,09:29:03,9,6,1,0,4,193.20.10.12,1,2,0
17,2025-12-31,13:50:46,13,6,1,0,1,88.120.204.108,1,0,0
22,2026-02-10,10:39:14,10,5,1,0,5,88.74.142.96,1,0,0
82,2026-02-28,13:34:08,13,2,0,1,2,40.67.86.138,0,0,0
3,2026-05-01,00:02:12,0,0,1,9,14,38.8.2.112,2,1,1
44,2026-03-25,18:32:04,18,6,1,2,1,142.64.205.100,0,0,0
89,2026-06-19,19:22:10,19,0,1,2,2,175.198.126.108,2,0,0
25,2026-01-12,16:27:51,16,1,1,1,5,208.167.76.159,0,2,0
80,2026-05-05,15:46:34,15,5,1,2,2,16.217.202.106,2,2,0
89,2026-01-28,02:41:25,2,6,0,9,18,50.225.80.177,2,2,1
58,2026-06-02,13:45:43,13,5,1,1,3,167.239.246.203,1,2,0
17,2025-12-19,10:01:10,10,0,1,2,1,166.142.99.41,0,0,0
46,2026-03-18,23:34:46,23,6,0,10,19,47.63.37.76,2,1,1
43,2026-06-17,01:45:11,1,6,0,5,7,101.188.67.160,1,2,1
22,2026-01-10,10:48:23,10,2,1,0,2,37.225.159.229,2,0,0
80,2025-10-09,18:36:26,18,4,1,0,1,78.198.239.211,2,1,0
46,2026-03-31,11:36:06,11,5,1,0,4,177.152.43.249,1,2,0
66,2025-09-25,02:59:56,2,4,1,3,7,202.237.29.15,1,1,1
96,2025-12-09,12:09:38,12,5,1,0,5,26.165.48.151,2,0,0
49,2025-11-25,15:55:02,15,5,1,1,2,90.252.110.204,1,0,0
40,2026-02-02,18:41:21,18,1,1,2,4,118.119.204.249,2,0,0
96,2026-07-15,14:58:01,14,6,1,0,5,239.166.103.125,1,2,0
56,2026-02-07,20:23:17,20,2,1,2,4,92.228.97.207,2,1,0
10,2026-05-14,17:00:14,17,4,1,0,2,184.241.107.219,2,1,0
36,2025-10-29,20:25:29,20,6,1,2,4,136.36.3.113,1,0,0
1,2025-10-14,18:01:10,18,5,1,2,4,199.84.187.48,2,1,0
66,2026-03-23,12:06:23,12,1,1,2,5,212.21.246.142,0,1,0
28,2026-07-11,14:10:05,14,2,1,1,1,208.7.6.223,1,2,0
67,2026-01-20,12:36:46,12,5,1,0,5,114.187.108.82,1,2,0
56,2026-01-15,20:25:31,20,4,1,1,1,7.85.220.181,0,1,0
91,2025-10-07,15:43:48,15,5,1,2,5,58.241.97.61,0,2,0
22,2025-07-28,22:47:44,22,1,0,6,8,111.3.112.175,0,0,1
98,2026-05-07,15:27:56,15,4,1,1,2,175.239.149.111,2,0,0
32,2025-10-24,10:32:36,10,0,1,2,2,56.16.77.14,2,2,0
27,2026-07-23,14:48:48,14,4,1,1,3,189.209.104.252,1,2,0
26,2026-01-04,14:39:23,14,3,1,2,3,135.45.155.2,0,0,0
93,2026-06-13,20:49:09,20,2,1,1,4,246.90.124.171,0,1,0
58,2025-11-13,16:39:29,16,4,1,0,5,26.74.132.2,0,2,0
46,2026-05-16,03:22:26,3,2,0,3,11,253.82.117.150,1,2,1
90,2026-03-22,13:45:37,13,3,1,0,2,57.87.184.182,0,0,0
30,2025-08-05,15:15:10,15,5,1,1,1,141.153.225.235,1,2,0
58,2025-11-28,12:02:44,12,0,1,1,3,234.1.157.202,2,0,0
42,2026-07-10,15:22:02,15,0,1,0,2,104.185.44.40,0,1,0
7,2026-05-27,19:46:34,19,6,1,1,2,94.219.131.89,2,2,0
51,2025-08-24,20:20:01,20,3,1,2,4,81.201.243.118,0,2,0
43,2025-08-12,19:04:26,19,5,1,0,4,157.154.89.238,2,2,0
39,2025-10-14,17:12:47,17,5,1,0,5,144.14.231.144,2,0,0
16,2026-05-31,12:29:35,12,3,1,1,1,9.131.229.34,1,0,0
24,2026-06-01,23:07:23,23,1,0,8,7,254.178.50.75,1,2,1
37,2025-07-28,23:58:05,23,1,1,8,11,139.97.202.116,2,1,1
49,2025-10-28,16:07:22,16,5,1,1,4,120.243.46.14,1,1,0
23,2026-01-02,11:59:10,11,0,1,0,3,160.229.19.89,0,2,0
77,2026-05-01,14:47:26,14,0,1,2,2,160.223.166.198,1,0,0
36,2026-05-08,12:31:34,12,0,1,0,4,80.74.218.90,0,2,0
44,2025-12-01,02:53:53,2,1,0,4,17,202.232.234.210,1,1,1
32,2025-11-21,03:46:19,3,0,0,8,17,2.1.135.133,2,2,1
26,2026-05-21,17:15:14,17,4,0,1,2,116.168.50.183,2,1,0
14,2026-01-08,12:23:38,12,4,1,0,3,253.248.75.86,2,0,0
5,2026-03-30,13:37:03,13,1,1,2,1,35.119.80.151,0,0,0
14,2026-04-16,12:12:55,12,4,1,1,1,122.85.62.136,2,0,0
51,2026-07-22,19:20:27,19,6,1,2,3,141.182.213.49,0,2,0
1,2025-08-31,10:27:07,10,3,1,1,5,132.118.141.127,0,0,0
31,2026-02-02,17:00:04,17,1,1,2,1,84.233.40.12,2,1,0
25,2026-07-15,08:29:24,8,6,1,1,1,195.147.13.38,1,2,0
72,2026-05-09,10:48:30,10,2,0,1,1,185.80.122.90,2,0,0
67,2026-07-14,13:28:21,13,5,1,2,5,181.78.139.117,0,2,0
9,2026-04-10,14:31:37,14,0,1,2,5,131.235.101.113,1,0,0
64,2026-07-05,19:21:22,19,3,1,2,4,59.14.10.143,2,1,0
95,2026-05-26,08:02:06,8,5,1,1,5,232.242.75.123,1,2,0
43,2026-03-24,19:28:19,19,5,1,2,2,148.190.237.8,1,0,0
31,2025-11-26,19:56:01,19,6,1,1,2,247.89.214.27,1,1,0
42,2026-06-28,08:54:06,8,3,1,1,5,231.196.57.36,0,2,0
71,2025-09-18,12:07:32,12,4,1,1,1,166.192.142.159,2,0,0
13,2026-06-14,17:36:13,17,3,1,2,3,246.124.219.89,1,0,0
25,2025-08-04,09:58:34,9,1,1,2,2,31.144.170.230,0,2,0
2,2025-09-26,11:04:41,11,0,1,0,3,138.11.251.77,1,2,0
47,2025-10-29,13:46:57,13,6,1,1,5,97.83.110.222,2,1,0
16,2026-05-10,20:56:04,20,3,1,2,4,238.178.243.126,0,0,0
65,2026-01-29,11:27:03,11,4,1,2,5,173.234.231.43,1,1,0
3,2026-02-20,08:46:34,8,0,1,2,3,111.181.103.37,0,0,0
87,2025-10-29,12:04:09,12,6,1,1,1,238.153.84.178,2,0,0
17,2026-04-05,15:26:51,15,3,1,2,2,16.137.208.150,0,2,0
58,2026-02-17,03:17:57,3,5,1,5,11,226.101.181.216,0,2,1
60,2025-07-29,17:33:22,17,5,1,1,2,123.139.72.195,2,2,0
22,2025-10-25,03:20:32,3,2,0,7,16,37.244.214.131,1,1,1
39,2025-10-23,16:46:30,16,4,1,1,5,67.253.151.143,0,0,0
60,2026-05-19,16:34:06,16,5,1,0,2,136.186.27.145,2,0,0
74,2025-10-10,22:52:57,22,0,0,8,10,94.149.46.204,1,2,1
50,2025-09-05,16:27:41,16,0,1,1,4,185.77.1.74,1,2,0
21,2026-07-24,18:07:28,18,0,1,1,2,207.130.29.53,2,0,0
96,2025-11-21,23:07:34,23,0,1,6,16,110.179.205.213,0,0,1
52,2026-07-22,02:43:01,2,6,1,4,8,41.55.199.188,2,1,1
38,2025-09-21,16:26:16,16,3,1,0,5,220.158.121.164,0,0,0
41,2026-03-07,16:49:19,16,2,1,1,2,106.49.141.181,1,0,0
61,2026-05-11,12:13:50,12,1,1,1,3,46.119.65.101,0,1,0
47,2025-09-26,18:25:47,18,0,1,1,2,137.177.24.226,1,2,0
95,2025-08-20,19:33:26,19,6,1,2,4,170.33.40.239,1,2,0
78,2025-12-16,08:32:34,8,5,1,0,2,208.36.109.27,2,0,0
22,2025-08-14,10:46:50,10,4,1,0,5,162.36.229.154,0,2,0
37,2026-04-23,08:54:17,8,4,1,0,4,220.190.32.30,0,0,0
75,2025-11-17,01:52:42,1,1,0,6,9,210.247.70.179,0,2,1
30,2025-10-18,18:15:26,18,2,1,2,3,75.32.88.221,2,1,0
57,2026-07-08,12:11:26,12,6,1,1,4,188.227.217.30,1,1,0
72,2026-06-12,10:16:23,10,0,1,1,4,163.144.243.170,0,0,0
75,2026-03-05,23:35:52,23,4,0,6,17,137.222.188.230,0,2,1
43,2026-01-21,09:06:33,9,6,1,1,3,115.163.21.150,1,1,0
34,2025-09-23,11:52:33,11,5,1,0,3,212.12.238.37,0,1,0
56,2026-04-23,08:49:17,8,4,1,0,1,77.89.51.125,2,1,0
32,2026-02-18,17:45:02,17,6,1,1,1,163.77.9.183,2,0,0
87,2025-11-01,08:21:18,8,2,1,0,4,29.176.134.14,2,1,0
66,2026-01-01,10:58:56,10,4,1,2,5,86.151.18.107,0,1,0
40,2026-04-04,13:37:11,13,2,1,2,1,35.108.205.193,1,0,0
75,2025-10-16,11:45:07,11,4,1,0,5,164.253.66.225,2,1,0
58,2025-10-29,20:34:30,20,6,1,2,2,149.20.120.148,1,1,0
3,2026-03-05,16:21:58,16,4,1,2,4,236.99.25.215,1,2,0
59,2026-07-14,16:04:14,16,5,0,1,4,13.205.138.64,0,2,0
89,2025-10-06,08:05:26,8,1,1,0,2,61.69.19.73,1,2,0
19,2026-03-22,09:52:50,9,3,1,2,1,196.113.5.138,2,2,0
38,2025-10-04,00:05:22,0,2,0,4,20,138.6.139.175,2,0,1
53,2025-11-29,09:04:30,9,2,1,1,3,215.90.146.189,2,0,0
57,2026-01-24,09:48:12,9,2,1,0,1,51.7.176.17,1,2,0
94,2026-01-17,17:37:37,17,2,1,1,2,244.108.251.81,1,0,0
86,2025-12-06,13:40:46,13,2,1,2,5,135.186.149.70,0,2,0
21,2026-02-27,14:29:51,14,0,1,1,4,26.67.194.125,2,0,0
33,2026-02-02,10:44:19,10,1,1,2,5,182.212.226.248,1,0,0
35,2026-05-06,09:06:57,9,6,1,2,2,200.118.56.89,2,2,0
35,2026-06-29,10:27:35,10,1,1,2,5,124.58.37.225,0,2,0
66,2026-03-03,14:45:25,14,5,1,0,1,95.189.131.75,0,1,0
11,2025-11-06,00:49:48,0,4,0,9,11,211.27.179.51,1,1,1
12,2026-07-19,20:13:21,20,3,1,1,4,202.217.90.5,0,2,0
94,2026-07-14,08:51:16,8,5,1,1,2,148.58.231.3,2,1,0
65,2026-05-07,13:18:54,13,4,1,1,5,29.126.156.185,2,1,0
58,2026-02-17,09:37:32,9,5,1,1,2,215.128.215.87,1,2,0
20,2025-09-16,22:47:27,22,5,0,6,6,90.254.16.148,2,0,1
67,2025-12-31,11:28:52,11,6,1,2,5,255.72.187.9,0,1,0
35,2025-07-26,08:09:20,8,2,1,1,1,11.32.138.246,2,1,0
97,2026-06-19,10:19:06,10,0,1,0,2,62.135.246.190,1,2,0
80,2025-11-13,10:49:12,10,4,1,0,4,61.207.26.196,1,0,0
19,2026-03-13,11:54:45,11,0,1,1,3,175.77.184.1,0,2,0
93,2025-12-19,20:06:14,20,0,1,2,1,35.128.136.20,1,2,0
9,2025-12-12,14:19:46,14,0,1,0,2,111.7.220.39,0,1,0
40,2026-01-22,18:41:10,18,4,1,2,1,114.18.70.160,0,1,0
13,2026-04-08,04:33:34,4,6,0,3,16,219.117.152.26,2,1,1
0,2025-09-21,03:44:12,3,3,0,9,9,14.13.33.151,2,2,1
81,2026-02-20,19:45:42,19,0,1,1,2,253.64.24.249,1,1,0
93,2025-10-26,15:20:24,15,3,1,0,1,73.22.3.68,1,0,0
35,2026-01-07,12:01:23,12,6,1,0,4,251.79.83.95,2,0,0
2,2026-07-10,09:47:01,9,0,1,0,5,50.108.182.223,0,0,0
92,2026-03-07,00:53:49,0,2,0,4,11,64.60.103.147,1,2,1
88,2026-06-25,17:57:36,17,4,1,1,5,100.154.75.48,2,1,0
64,2025-12-08,11:48:38,11,1,1,0,2,127.168.62.252,0,2,0
92,2026-04-19,09:43:55,9,3,1,0,2,90.61.53.95,2,2,0
47,2026-04-28,04:57:53,4,5,0,5,6,68.14.7.175,2,1,1
98,2026-06-20,17:39:07,17,2,1,2,3,112.207.45.242,1,1,0
84,2026-04-25,17:41:18,17,2,1,2,1,231.75.113.48,2,0,0
45,2025-12-18,09:20:12,9,4,1,2,4,48.84.174.49,2,0,0
33,2025-09-09,15:41:48,15,5,1,1,1,48.205.21.89,1,1,0
85,2025-11-23,20:50:03,20,3,1,0,1,123.242.212.47,1,0,0
29,2026-03-20,16:39:27,16,0,1,2,2,183.167.25.201,1,0,0
27,2025-09-19,08:40:01,8,0,1,2,2,18.179.62.213,2,2,0
36,2026-06-08,13:52:56,13,1,1,1,1,196.21.208.137,1,0,0
66,2025-09-18,14:07:11,14,4,1,0,5,154.153.121.84,0,1,0
98,2025-10-11,09:11:03,9,2,0,2,1,147.31.82.11,2,0,0
89,2026-02-21,20:38:15,20,2,1,1,1,219.137.200.117,1,1,0
82,2025-09-14,19:11:20,19,3,1,0,4,243.254.154.245,2,1,0
23,2026-07-17,04:19:48,4,0,0,5,16,29.224.148.15,0,0,1
39,2026-02-13,16:23:16,16,0,1,0,3,27.198.178.239,1,0,0
78,2026-07-17,20:08:07,20,0,1,1,3,55.108.122.212,0,1,0
19,2026-02-13,12:27:31,12,0,1,2,2,46.56.13.227,0,1,0
59,2026-06-07,12:57:31,12,3,1,2,4,198.236.218.85,2,1,0
68,2026-02-23,18:25:45,18,1,1,2,5,27.224.125.133,2,0,0
52,2026-02-17,10:39:06,10,5,1,2,5,65.145.142.43,1,2,0
80,2025-11-17,14:18:30,14,1,1,2,2,178.85.5.49,1,1,0
47,2026-01-05,10:43:24,10,1,1,1,4,126.212.21.246,2,1,0
27,2026-06-06,12:34:54,12,2,1,1,5,76.210.235.248,0,2,0
91,2025-09-18,14:06:37,14,4,1,0,3,244.86.165.112,0,2,0
86,2026-02-26,23:38:39,23,4,0,8,11,101.196.178.191,1,0,1
3,2026-07-18,10:23:26,10,2,1,1,1,1.206.224.196,1,2,0
15,2025-11-26,14:28:28,14,6,0,0,5,177.112.42.26,2,0,0
72,2026-02-07,22:26:33,22,2,0,3,14,120.51.55.91,2,1,1
12,2026-04-28,20:16:48,20,5,1,0,2,245.253.92.199,2,0,0
14,2026-01-27,11:03:54,11,5,1,0,2,138.237.91.133,1,1,0
68,2026-04-24,13:46:34,13,0,1,1,4,128.125.149.110,1,2,0
38,2025-12-26,18:51:11,18,0,1,2,5,140.198.42.157,0,1,0
33,2025-09-09,15:51:06,15,5,1,2,4,245.180.200.232,1,1,0
22,2026-05-31,12:44:12,12,3,1,2,1,217.130.16.66,0,0,0
63,2026-05-03,09:24:07,9,3,1,1,2,29.97.140.176,2,0,0
72,2025-10-29,09:33:27,9,6,1,2,3,178.151.18.64,0,2,0
99,2025-09-23,19:36:37,19,5,1,0,3,75.146.10.50,2,1,0
67,2026-07-08,01:37:02,1,6,0,3,6,223.135.225.127,2,2,1
57,2026-06-18,15:30:24,15,4,1,1,1,15.14.18.10,2,0,0
48,2026-03-27,16:25:23,16,0,1,0,3,138.241.138.212,0,2,0
49,2026-02-13,23:05:29,23,0,0,7,18,116.55.169.108,1,0,1
86,2026-01-01,04:19:49,4,4,1,8,11,202.101.117.75,1,2,1
83,2026-03-24,18:45:13,18,5,1,1,1,131.160.157.116,1,1,0
74,2025-10-23,15:53:34,15,4,1,2,5,195.126.68.64,2,1,0
36,2026-05-22,08:23:47,8,0,1,1,5,180.207.11.229,0,0,0
74,2026-06-24,11:59:10,11,6,1,2,5,30.246.79.53,2,1,0
2,2025-11-02,02:46:01,2,3,0,10,11,210.254.70.138,0,1,1
87,2026-04-19,14:59:23,14,3,1,0,2,108.250.43.203,2,2,0
5,2026-07-07,08:14:58,8,5,1,1,4,243.53.162.15,1,2,0
35,2025-07-28,09:53:48,9,1,1,0,4,40.187.52.92,0,1,0
38,2025-11-07,08:33:51,8,0,1,2,5,91.107.73.70,2,0,0
9,2025-08-03,14:28:33,14,3,1,1,5,222.203.206.139,2,0,0
91,2026-06-18,16:34:12,16,4,1,0,3,231.99.82.153,2,1,0
36,2025-10-20,00:31:24,0,1,0,10,6,50.1.189.168,0,1,1
71,2026-02-24,13:14:34,13,5,1,1,5,185.54.238.131,2,1,0
16,2025-11-05,14:32:53,14,6,1,2,3,35.138.248.42,1,2,0
45,2025-09-12,14:27:10,14,0,1,1,4,50.27.34.137,0,0,0
45,2025-09-28,08:18:26,8,3,1,0,1,250.198.152.181,1,1,0
19,2026-03-20,11:08:19,11,0,1,2,5,37.255.233.159,0,2,0
35,2025-08-20,19:49:21,19,6,1,1,3,21.59.187.121,2,1,0
67,2025-09-23,17:47:45,17,5,1,1,4,161.179.50.233,2,2,0
28,2026-04-27,12:05:01,12,1,1,1,5,7.164.53.101,2,1,0
49,2026-04-05,09:44:14,9,3,1,2,4,146.169.80.124,0,2,0
5,2025-10-09,22:25:27,22,4,1,7,13,197.15.252.239,0,0,1
9,2026-03-06,00:16:38,0,0,0,3,19,161.16.129.137,1,2,1
43,2025-12-17,20:42:58,20,6,1,0,3,124.41.54.109,0,0,0
32,2025-08-26,13:37:33,13,5,1,1,2,60.154.52.89,0,2,0
99,2026-06-13,12:02:37,12,2,1,2,2,217.1.53.158,1,2,0
44,2026-07-15,04:45:39,4,6,1,7,7,167.104.134.205,0,2,1
27,2026-05-15,09:28:35,9,0,1,2,4,138.194.48.63,1,0,0
62,2025-12-22,17:07:52,17,1,1,2,4,177.239.197.64,0,0,0
70,2026-01-27,23:06:09,23,5,1,5,19,164.23.170.53,2,0,1
85,2026-05-24,14:45:57,14,3,1,0,5,46.104.109.30,1,0,0
54,2025-11-24,18:54:51,18,1,1,1,1,87.82.107.225,0,2,0
25,2026-05-28,08:04:27,8,4,1,1,5,178.176.147.83,0,1,0
64,2026-05-09,11:02:32,11,2,1,2,1,165.61.162.179,0,1,0
46,2025-08-27,13:00:13,13,6,1,2,1,148.132.137.78,0,0,0
85,2025-09-10,16:13:49,16,6,1,1,3,111.126.159.101,0,0,0
26,2025-10-08,14:13:52,14,6,1,2,5,104.240.220.102,0,1,0
35,2025-08-14,14:42:37,14,4,1,1,1,249.82.119.115,1,1,0
20,2026-02-09,08:09:50,8,1,1,1,2,169.47.55.149,1,1,0
9,2025-12-30,14:35:41,14,5,1,0,1,243.153.227.121,2,2,0
12,2026-06-27,16:15:04,16,2,1,1,1,156.135.66.162,0,1,0
86,2026-01-24,10:10:36,10,2,1,1,1,167.115.158.196,0,1,0
32,2026-06-07,23:42:33,23,3,0,6,11,41.145.131.225,2,1,1
60,2025-11-30,18:31:10,18,3,1,1,5,45.147.193.190,2,0,0
61,2026-06-19,17:02:15,17,0,1,2,5,225.227.104.36,2,0,0
31,2026-05-24,11:28:08,11,3,1,0,2,251.185.235.235,1,1,0
51,2025-12-07,10:09:56,10,3,1,0,3,49.223.12.35,2,2,0
20,2025-12-03,16:47:24,16,6,1,1,1,254.19.15.83,1,0,0
0,2026-02-06,14:52:47,14,0,1,1,5,170.255.172.213,2,1,0
68,2026-02-21,17:04:28,17,2,1,1,3,124.126.172.10,1,1,0
73,2026-02-28,04:15:59,4,2,0,6,11,222.146.62.104,1,0,1
75,2026-01-06,10:41:05,10,5,1,2,2,72.186.85.24,0,1,0
60,2025-11-22,15:47:47,15,2,1,1,4,131.54.82.191,1,0,0
94,2025-11-26,15:06:52,15,6,1,0,4,237.149.236.19,0,0,0
11,2026-05-09,17:39:44,17,2,1,0,1,53.213.183.42,2,1,0
84,2025-12-26,16:23:21,16,0,1,1,5,135.114.214.220,2,0,0
26,2026-04-29,09:59:32,9,6,1,0,1,255.7.244.100,0,2,0
74,2026-02-25,11:38:24,11,6,1,1,2,79.144.103.204,2,0,0
89,2026-06-26,20:04:49,20,0,1,1,5,110.144.20.120,2,1,0
42,2026-01-01,03:46:44,3,4,0,4,14,210.202.30.231,1,1,1
23,2026-01-30,17:31:47,17,0,1,1,2,64.15.121.123,0,1,0
88,2026-06-23,09:01:11,9,5,1,1,4,55.204.76.10,2,1,0
24,2026-07-19,20:42:54,20,3,1,1,3,122.205.78.87,2,0,0
98,2025-11-06,04:04:06,4,4,0,7,19,147.151.165.112,0,0,1
67,2026-03-11,11:35:29,11,6,1,0,2,223.77.195.217,1,0,0
91,2026-07-11,16:48:06,16,2,1,1,1,89.130.115.50,1,0,0
8,2026-02-05,00:15:29,0,4,0,3,16,226.70.191.248,2,0,1
24,2025-10-23,14:27:29,14,4,1,1,3,105.169.141.175,1,1,0
9,2026-01-28,13:36:15,13,6,1,1,4,81.105.161.111,1,2,0
50,2026-01-01,08:41:00,8,4,1,1,1,125.74.96.222,1,0,0
42,2026-05-26,12:00:12,12,5,1,2,3,134.70.133.145,2,2,0
78,2025-08-01,04:06:37,4,0,1,5,8,235.169.187.160,0,1,1
37,2026-07-25,19:09:55,19,2,0,2,1,15.212.231.165,2,1,0
62,2025-11-29,18:59:25,18,2,1,0,3,117.144.246.222,1,1,0
61,2026-04-06,16:20:51,16,1,1,2,4,166.176.54.222,2,0,0
56,2026-07-10,11:50:44,11,0,1,0,4,48.162.234.104,0,0,0
36,2025-08-11,10:24:04,10,1,1,2,3,247.46.237.19,1,1,0
75,2026-01-22,20:29:03,20,4,1,1,1,225.52.240.138,1,0,0
9,2026-02-07,11:08:04,11,2,1,0,1,84.94.136.235,2,0,0
